gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
MIR34B,407041,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIRLET7C,406885,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DELEC1,50514,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HULC,728655,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR197,406974,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR216A,406998,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR324,442898,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR369,442914,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR486-1,619554,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LINC00511,400619,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR9-2,407047,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR551A,693135,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR9-3,407051,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR20B,574032,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT-TS1,4574,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAD51-AS1,100505648,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR421,693122,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT-TL2,4568,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR4655,100616160,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POU6F2-AS2,100689074,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAD51L3-RFFL,100529207,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LOC100507346,100507346,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR558,693143,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LINC00597,81698,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR3928,100500901,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LNCRI,401296,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRG-CCC2-2,64717,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CFTR,1080,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RPS6KA3,6197,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BMPR1A,657,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CSF1R,1436,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NOTCH3,4854,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CBS,875,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EGLN1,54583,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GNAS,2778,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MMP14,4323,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NOS1,4842,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRKAR1A,5573,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TGFB2,7042,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YWHAE,7531,Unknown,Unknown,ionizing radiation,Unknown,Unknown
COL1A1,1277,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DLD,1738,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GDNF,2668,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IL1RN,3557,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LIMK1,3984,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAP3K7,6885,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAPT,4137,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NRP1,8829,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SCD,6319,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SERPINA1,5265,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SGK1,6446,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACTG1,71,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACTN1,87,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALDOA,226,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARG1,383,Unknown,Unknown,ionizing radiation,Unknown,Unknown
C3,718,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CAD,790,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CAMK2D,817,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DAPK1,1612,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GATA4,2626,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GYS1,2997,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KDM1A,23028,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MTAP,4507,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PKN1,5585,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAB7A,7879,Unknown,Unknown,ionizing radiation,Unknown,Unknown
REL,5966,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RXRA,6256,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TSC1,7248,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACTA1,58,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACVR1B,91,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAR,103,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADORA2B,136,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALDH7A1,501,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANXA1,301,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANXA2,302,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AQP1,358,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AXIN1,8312,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CAMKK2,10645,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CAPN2,824,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CASP10,843,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDH5,1003,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CTNNA1,1495,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CYLD,1540,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ERN1,2081,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FOXP3,50943,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GLDC,2731,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GLUL,2752,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GPI,2821,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GPX4,2879,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HMGCR,3156,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HNRNPA1,3178,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IFIH1,64135,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ITGA3,3675,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KIF11,3832,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KL,9365,Unknown,Unknown,ionizing radiation,Unknown,Unknown
L1CAM,3897,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LOX,4015,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAPK12,6300,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NKX2-1,7080,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NMNAT1,64802,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PC,5091,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDHA1,5160,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDP1,54704,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POR,5447,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RPL11,6135,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RYR2,6262,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC12A3,6559,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC16A1,6566,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC25A4,291,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC6A2,6530,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TFAP2A,7020,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TMPRSS2,7113,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TNK2,10188,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRPV6,55503,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TUBA4A,7277,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TYR,7299,Unknown,Unknown,ionizing radiation,Unknown,Unknown
WNT7A,7476,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YWHAB,7529,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACLY,47,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CIT,11113,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ERG,2078,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FES,2242,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GANAB,23193,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GLP1R,2740,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GSS,2937,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HMGA1,3159,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HSD17B10,3028,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HSD17B4,3295,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IKZF1,10320,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KRT8,3856,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NR1H2,7376,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PCCB,5096,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDHB,5162,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PGD,5226,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PITX2,5308,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POU5F1,5460,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPARD,5467,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SERPINH1,871,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SGPL1,8879,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC25A12,8604,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SPTLC1,10558,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TLR9,54106,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TPI1,7167,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YWHAH,7533,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALDH3A2,224,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ASNS,440,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATP5F1A,498,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCNH,902,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDK12,51755,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDK5R1,8851,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CENPE,1062,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRYAB,1410,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CSF2,1437,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CTNND1,1500,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CTPS1,1503,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CYP1A2,1544,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DCC,1630,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DVL3,1857,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EHMT1,79813,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EIF2S3,1968,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FTL,2512,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GDI1,2664,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HTR3A,3359,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HTRA2,27429,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LNPEP,4012,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LONP1,9361,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LYZ,4069,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDUFS3,4722,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NSD2,7468,Unknown,Unknown,ionizing radiation,Unknown,Unknown
OGT,8473,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PCYT1A,5130,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDE5A,8654,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PIK3R3,8503,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PLOD1,5351,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PLOD2,5352,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPP1CB,5500,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRDM16,63976,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRPS1,5631,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSMB4,5692,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAB5A,5868,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RPSA,3921,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SAT1,6303,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SHMT2,6472,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC11A1,6556,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TACSTD2,4070,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TLR5,7100,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TPM3,7170,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRAF6,7189,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TUBB1,81027,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TUBB2A,7280,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UQCRC2,7385,Unknown,Unknown,ionizing radiation,Unknown,Unknown
XBP1,7494,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ABCD3,5825,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACAD9,28976,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AIMP1,9255,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARF1,375,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CUL2,8453,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CX3CL1,6376,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CX3CR1,1524,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CYB5R3,1727,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDOST,1650,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDX6,1656,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DLST,1743,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNAJB1,3337,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EMD,2010,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FOSL1,8061,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FRK,2444,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GARS1,2617,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GLO1,2739,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GUCY2C,2984,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HFE,3077,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HYOU1,10525,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IARS1,3376,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IFNA2,3440,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KARS1,3735,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KDM5B,10765,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KRT5,3852,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NUP98,4928,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PAX3,5077,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDGFA,5154,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POLR3A,11128,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSMA3,5684,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSMA7,5688,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PTGES3,10728,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PYCR2,29920,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SARS2,54938,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SEC24C,9632,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC3A2,6520,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC7A7,9056,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SRF,6722,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STAG2,10735,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STK3,6788,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STMN1,3925,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STT3A,3703,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TGM1,7051,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TLR6,10333,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRAP1,10131,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIM24,8805,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TXNRD2,10587,Unknown,Unknown,ionizing radiation,Unknown,Unknown
XYLT2,64132,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACO1,48,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AKR1A1,10327,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AMFR,267,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANTXR1,84168,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATP5PO,539,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BLMH,642,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CFL2,1073,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRADD,8738,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DTNA,1837,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EIF2B2,8892,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FOXP2,93986,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GH1,2688,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H3-3A,3020,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HSPA1L,3305,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IGF2BP2,10644,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KMT2D,8085,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KRT19,3880,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LARS1,51520,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MOGS,7841,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NAE1,8883,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDUFS8,4728,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NSD1,64324,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NUP155,9631,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDCD6IP,10015,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PEX5,5830,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RALBP1,10928,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RARS1,5917,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RASSF1,11186,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RIPK3,11035,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RPL35,11224,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TUFM,7284,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YARS2,51067,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AGPS,8540,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ANP32A,8125,Unknown,Unknown,ionizing radiation,Unknown,Unknown
APBA2,321,Unknown,Unknown,ionizing radiation,Unknown,Unknown
APOD,347,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGEF1,9138,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ASAH2,56624,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AZGP1,563,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BAG1,573,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BCL3,602,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BCOR,54880,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CANT1,124583,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDC34,997,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDC37,11140,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLCN5,1184,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLPB,81570,Unknown,Unknown,ionizing radiation,Unknown,Unknown
COL11A2,1302,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CUL5,8065,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CYB5A,1528,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CYP51A1,1595,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DARS2,55157,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DBT,1629,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DHPS,1725,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DPM1,8813,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DUT,1854,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EIF5A,1984,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ELP1,8518,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ENTPD5,957,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ESD,2098,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FBLN2,2199,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GART,2618,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GBF1,8729,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H6PD,9563,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HBG2,3048,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HGS,9146,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HIPK3,10114,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HSPA2,3306,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KDM5A,5927,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KIF2A,3796,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KMT5A,387893,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KPNA1,3836,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KPNA3,3839,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LTBP2,4053,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAPRE1,22919,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MCCC2,64087,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MSRA,4482,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MYO6,4646,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDUFA13,51079,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDUFB8,4714,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NOP56,10528,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NPEPPS,9520,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PARN,5073,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PBK,55872,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDHA2,5161,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PEX19,5824,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PGAM1,5223,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PMPCB,9512,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POLR3B,55703,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPAT,5471,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPP2R5C,5527,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRIM1,5557,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSMA4,5685,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSMA5,5686,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PSMB7,5695,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PTDSS1,9791,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SFTPB,6439,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SH3GL1,6455,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC25A5,292,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SUV39H1,6839,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TAB1,10454,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TARS2,80222,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TFDP1,7027,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TREM1,54210,Unknown,Unknown,ionizing radiation,Unknown,Unknown
U2AF1,7307,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBE2G1,7326,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBE2T,29089,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UNC13B,10497,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UQCRC1,7384,Unknown,Unknown,ionizing radiation,Unknown,Unknown
USF1,7391,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VAPA,9218,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VDAC3,7419,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YME1L1,10730,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ABCA2,20,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACAA2,10449,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACOT7,11332,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACSL3,2181,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACTR3,10096,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALDH9A1,223,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AP2S1,1175,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BNIP3,664,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCT2,10576,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CNBP,7555,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRABP1,1381,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DCPS,28960,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DRG1,4733,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ELOC,6921,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ERC1,23085,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EXOSC2,23404,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EXOSC3,51010,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FBL,2091,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FLII,2314,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GHRL,51738,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GPX3,2878,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HAX1,10456,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HNRNPDL,9987,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HSPH1,10808,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ICOSLG,23308,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IQCB1,9657,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KSR1,8844,Unknown,Unknown,ionizing radiation,Unknown,Unknown
